x	y	z	Event	Energy	Time
-5.4820113063e+00 3.4366070985e+00 1.7482036485e+05 1 1.0618870158e+03 2.1885590091e-01
-5.4452594031e+00 3.2807451956e+00 1.7029796615e+05 1 1.6568191491e+03 2.1713405747e-01
-5.4034458597e+00 3.1092824597e+00 1.6511677080e+05 1 1.2144570471e+03 2.1516138603e-01
-5.3628578596e+00 2.6260129825e+00 1.4954357321e+05 1 1.1134639846e+03 2.0923209838e-01
-5.3493074125e+00 2.1026341385e+00 1.2582362113e+05 1 2.4293060659e+03 2.0020104456e-01
-5.2739323477e+00 1.8003272620e+00 1.0751739127e+05 1 1.1448769780e+03 1.9323119422e-01
-4.9207991637e+00 1.4389812806e+00 8.0597555645e+04 1 1.5984652755e+03 1.8298183230e-01
-4.5699451322e+00 1.1235226747e+00 6.0062947410e+04 1 1.1443800569e+03 1.7516356060e-01
-4.4820741561e+00 1.0465753352e+00 5.5759612491e+04 1 1.3815673127e+03 1.7352512464e-01
-4.4572833914e+00 1.0271835265e+00 5.4675855306e+04 1 1.4400827319e+03 1.7311249891e-01
-4.0187122635e+00 7.0193557131e-01 3.5508222653e+04 1 1.7735781371e+03 1.6581468628e-01
-3.8038016525e+00 5.7040206515e-01 2.6761818278e+04 1 5.7322757779e+03 1.6248461346e-01
-3.7275942619e+00 5.1123344914e-01 2.3392443953e+04 1 1.5062162493e+03 1.6120177078e-01
-3.4240138327e+00 2.7550715172e-01 1.2476638653e+04 1 4.1306426438e+03 1.5704572932e-01
-3.2224200424e+00 1.4960539230e-01 3.1634081893e+03 1 2.2301480491e+03 1.5349984650e-01
-2.3294220216e+00 -4.1077594536e-01 -3.8319396812e+04 1 1.2721795790e+03 1.3770585196e-01
-1.3554547476e+00 -1.0280989510e+00 -1.0084661751e+05 1 1.5668479918e+03 1.1389950208e-01
-1.2846234466e+00 -1.0466984978e+00 -1.0455037497e+05 1 5.1571428656e+00 1.1248934934e-01
6.4486887668e+00 -1.3441957469e+01 -1.0454921380e+05 1 7.1935728915e+02 1.1252473612e-01
1.4660193785e+03 -9.3569217058e+02 -1.0411879820e+05 1 2.1138554297e+03 1.1737239750e-01
1.4660193785e+03 -9.3569217058e+02 -1.0411879820e+05 1 1.0405423215e+03 1.1737239750e-01
6.4486887668e+00 -1.3441957469e+01 -1.0454921380e+05 1 1.0683149690e+03 1.1252473612e-01
-8.1427507811e-01 -8.9437034884e-01 -1.3050626439e+05 1 2.4062012092e+03 1.0260701771e-01
-5.4419855909e+03 -1.1197815786e+04 -1.2892362084e+05 1 5.6425757718e+03 1.2177704355e-01
-1.4400110158e+04 -1.5459014067e+04 -1.3112833352e+05 1 1.6046252088e+03 1.4033920605e-01
-1.4400110158e+04 -1.5459014067e+04 -1.3112833352e+05 1 1.4922210339e+03 1.4033920605e-01
-5.4419855909e+03 -1.1197815786e+04 -1.2892362084e+05 1 1.4905410990e+03 1.2177704355e-01
-7.6529230978e-01 -7.1772317399e-01 -1.5805920676e+05 1 1.7041594251e+03 9.2116635113e-02
-7.2137270151e-01 -5.1986367465e-01 -1.7163986369e+05 1 1.3271267469e+03 8.6945997903e-02
-5.9760277256e-01 -1.4937518694e-01 -1.9644507278e+05 1 1.2723146549e+03 7.7501778591e-02
-5.9556378607e-01 -1.4271715093e-01 -1.9689921301e+05 1 1.6597661552e+03 7.7328871366e-02
-4.6874990967e-01 9.4859623071e-02 -2.2059434534e+05 1 6.3881926992e+03 6.8307299732e-02
1.4133316926e+04 2.2367436164e+04 -2.1669807049e+05 1 6.1469519689e+03 1.0382158756e-01
