x	y	z	Event	Energy	Time
3.7591384202e-01 1.2572829819e+00 -8.4031797100e+04 3 6.7284292741e+03 1.2030150850e-01
2.7650314757e-01 1.3146440379e+00 -7.8132691898e+04 3 2.6298408269e+03 1.2254750927e-01
2.0391926464e-01 1.3556854306e+00 -7.4360016553e+04 3 3.3072709276e+03 1.2398390208e-01
1.3557894418e-01 1.3979668671e+00 -7.0803655992e+04 3 2.4862726690e+04 1.2533793614e-01
-6.7549733290e-01 1.7888640606e+00 -4.0402584394e+04 3 1.6429669708e+04 1.3691271816e-01
-1.3855155893e+00 2.2015824794e+00 -2.0236864383e+04 3 3.8577997529e+03 1.4459053556e-01
-1.5187025225e+00 2.2635514505e+00 -1.6464177415e+04 3 7.3742580553e+04 1.4602693390e-01
-4.2269831468e+00 3.5638046377e+00 5.8842976534e+04 3 8.2286708102e+03 1.7469909176e-01
-4.4218983170e+00 3.6142638716e+00 6.3688757066e+04 3 2.5360263030e+04 1.7654405708e-01
-5.6856724483e+00 3.7608148815e+00 8.7847612848e+04 3 7.8060358061e+02 1.8574222897e-01
-5.7632841019e+00 3.7481570474e+00 8.9273855016e+04 3 1.3666358473e+04 1.8628525244e-01
-6.4809384282e+00 3.6120944460e+00 1.0248335325e+05 3 1.3915595261e+04 1.9131460009e-01
-7.1423293664e+00 3.5412471193e+00 1.1500860950e+05 3 5.0402127196e+02 1.9608343213e-01
-7.1667624853e+00 3.5389909385e+00 1.1549120674e+05 3 8.5869048964e+03 1.9626717492e-01
-7.5497470478e+00 3.4894515196e+00 1.2290523411e+05 3 5.5754528921e+02 1.9908997204e-01
-7.5665569341e+00 3.4862292848e+00 1.2323182945e+05 3 1.4099132503e+04 1.9921431910e-01
-8.3201337886e+00 3.3094890854e+00 1.3890950395e+05 3 3.1751161260e+01 2.0518339645e-01
-8.3270503713e+00 3.3072805885e+00 1.3902540254e+05 3 8.1043500053e+03 2.0522752339e-01
-8.9734524814e+00 3.1115137321e+00 1.5008692835e+05 3 2.0918252944e+03 2.0943906094e-01
-9.3536977330e+00 3.0121252595e+00 1.5659731181e+05 3 3.9576469533e+03 2.1191780820e-01
-9.4991735688e+00 2.9799849561e+00 1.5906695206e+05 3 8.1622844350e+03 2.1285809297e-01
-1.0072734150e+01 2.8656966370e+00 1.6824990985e+05 3 5.7791870432e+03 2.1635438998e-01
-1.0433395665e+01 2.8014169711e+00 1.7424698382e+05 3 2.5122653607e+03 2.1863770159e-01
-1.0548989197e+01 2.7820227332e+00 1.7612237665e+05 3 7.0300560176e+03 2.1935173423e-01
-1.1216338755e+01 2.6904343351e+00 1.8679700614e+05 3 2.7902771723e+03 2.2341596763e-01
-1.1521001581e+01 2.6327716137e+00 1.9155291464e+05 3 3.6740934619e+04 2.2522672123e-01
-1.3970716691e+01 1.8355028079e+00 2.3007670789e+05 3 9.3485806173e+03 2.3989418213e-01
-1.4676041626e+01 1.6788479292e+00 2.4191253960e+05 3 1.4252362080e+04 2.4440053149e-01
